player_id,player_slug,tm_season_id,season_label,summary_row_text,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6,metric_7,metric_8,metric_9,metric_10,minutes_est,appearances_est
357091,maxwell,2024,24/25,Total 24/25: | Total 24/25: | nan | 15 | 4 | - | - | - | - | 559',Total 24/25:,nan,15,4,-,-,-,-,559',,559.0,15.0
357091,maxwell,2023,23/24,Total 23/24: | Total 23/24: | nan | 45 | 11 | 1 | 6 | 1 | 1 | 2.784',Total 23/24:,nan,45,11,1,6,1,1,2.784',,2784.0,45.0
357091,maxwell,2022,22/23,Total 22/23: | Total 22/23: | nan | 26 | 6 | 2 | 4 | - | - | 1.442',Total 22/23:,nan,26,6,2,4,-,-,1.442',,1442.0,26.0
357091,maxwell,2021,21/22,Total 21/22: | Total 21/22: | nan | 20 | - | - | 2 | - | - | 538',Total 21/22:,nan,20,-,-,2,-,-,538',,538.0,20.0
357091,maxwell,2020,20/21,Total 20/21: | Total 20/21: | nan | 30 | - | 1 | 3 | - | 1 | 825',Total 20/21:,nan,30,-,1,3,-,1,825',,825.0,30.0
357091,maxwell,2019,19/20,Total 19/20: | Total 19/20: | nan | 39 | 6 | - | 4 | 1 | - | 2.255',Total 19/20:,nan,39,6,-,4,1,-,2.255',,2255.0,39.0
357091,maxwell,2018,18/19,Total 18/19: | Total 18/19: | nan | 28 | 7 | 1 | 5 | - | - | 1.820',Total 18/19:,nan,28,7,1,5,-,-,1.820',,1820.0,28.0
357091,maxwell,2017,17/18,Total 17/18: | Total 17/18: | nan | 9 | - | - | 2 | - | 1 | 321',Total 17/18:,nan,9,-,-,2,-,1,321',,321.0,9.0
357091,maxwell,2016,16/17,Total 16/17: | Total 16/17: | nan | 6 | - | - | 1 | - | - | 166',Total 16/17:,nan,6,-,-,1,-,-,166',,166.0,6.0
357091,maxwell,2015,15/16,Total 15/16: | Total 15/16: | nan | 5 | - | - | 1 | - | - | 155',Total 15/16:,nan,5,-,-,1,-,-,155',,155.0,5.0
357091,maxwell,2014,14/15,Total 14/15: | Total 14/15: | nan | 32 | 6 | 2 | 8 | - | - | 1.537',Total 14/15:,nan,32,6,2,8,-,-,1.537',,1537.0,32.0
866893,adryan,2024,24/25,Total 24/25: | Total 24/25: | nan | 1 | - | - | - | - | - | 37',Total 24/25:,nan,1,-,-,-,-,-,37',,37.0,1.0
866893,adryan,2023,23/24,Total 23/24: | Total 23/24: | nan | 8 | - | - | 2 | - | - | 326',Total 23/24:,nan,8,-,-,2,-,-,326',,326.0,8.0
866893,adryan,2022,22/23,Total 22/23: | Total 22/23: | nan | 4 | - | - | - | 1 | - | 127',Total 22/23:,nan,4,-,-,-,1,-,127',,127.0,4.0
866893,adryan,2021,21/22,Total 21/22: | Total 21/22: | nan | 3 | - | - | 1 | - | - | 22',Total 21/22:,nan,3,-,-,1,-,-,22',,22.0,3.0
866893,adryan,2020,20/21,Total 20/21: | Total 20/21: | nan | 12 | - | - | 1 | - | - | 413',Total 20/21:,nan,12,-,-,1,-,-,413',,413.0,12.0
866893,adryan,2019,19/20,Total 19/20: | Total 19/20: | nan | 3 | - | - | 1 | - | - | 55',Total 19/20:,nan,3,-,-,1,-,-,55',,55.0,3.0
867785,juan-kelsen,2024,24/25,Total 24/25: | Total 24/25: | nan | 9 | 1 | - | 1 | - | - | 522',Total 24/25:,nan,9,1,-,1,-,-,522',,522.0,9.0
867785,juan-kelsen,2023,23/24,Total 23/24: | Total 23/24: | nan | 6 | 2 | - | 2 | - | - | 416',Total 23/24:,nan,6,2,-,2,-,-,416',,416.0,6.0
867785,juan-kelsen,2022,22/23,Total 22/23: | Total 22/23: | nan | 12 | 1 | - | - | 1 | - | 864',Total 22/23:,nan,12,1,-,-,1,-,864',,864.0,12.0
867785,juan-kelsen,2021,21/22,Total 21/22: | Total 21/22: | nan | 6 | - | - | - | - | - | 134',Total 21/22:,nan,6,-,-,-,-,-,134',,134.0,6.0
867785,juan-kelsen,2020,20/21,Total 20/21: | Total 20/21: | nan | 18 | - | - | 1 | - | - | 685',Total 20/21:,nan,18,-,-,1,-,-,685',,685.0,18.0
867785,juan-kelsen,2019,19/20,Total 19/20: | Total 19/20: | nan | 1 | - | - | - | - | - | 3',Total 19/20:,nan,1,-,-,-,-,-,3',,3.0,1.0
866880,paulinho,2024,24/25,Total 24/25: | Total 24/25: | nan | 10 | 1 | - | - | - | - | 533',Total 24/25:,nan,10,1,-,-,-,-,533',,533.0,10.0
866880,paulinho,2023,23/24,Total 23/24: | Total 23/24: | nan | 14 | - | 1 | 2 | - | - | 596',Total 23/24:,nan,14,-,1,2,-,-,596',,596.0,14.0
866880,paulinho,2022,22/23,Total 22/23: | Total 22/23: | nan | 14 | - | - | 1 | - | - | 315',Total 22/23:,nan,14,-,-,1,-,-,315',,315.0,14.0
866880,paulinho,2021,21/22,Total 21/22: | Total 21/22: | nan | 13 | 3 | 5 | 1 | - | - | 561',Total 21/22:,nan,13,3,5,1,-,-,561',,561.0,13.0
866880,paulinho,2020,20/21,Total 20/21: | Total 20/21: | nan | 24 | 1 | 1 | 3 | - | - | 1.243',Total 20/21:,nan,24,1,1,3,-,-,1.243',,1243.0,24.0
744904,flavio-souza,2024,24/25,Total 24/25: | Total 24/25: | nan | 6 | - | - | 1 | - | - | 120',Total 24/25:,nan,6,-,-,1,-,-,120',,120.0,6.0
744904,flavio-souza,2023,23/24,Total 23/24: | Total 23/24: | nan | 12 | 3 | - | 1 | - | - | 448',Total 23/24:,nan,12,3,-,1,-,-,448',,448.0,12.0
744904,flavio-souza,2022,22/23,Total 22/23: | Total 22/23: | nan | 1 | - | - | - | - | - | 10',Total 22/23:,nan,1,-,-,-,-,-,10',,10.0,1.0
744904,flavio-souza,2021,21/22,Total 21/22: | Total 21/22: | nan | 8 | 2 | - | 3 | - | - | 452',Total 21/22:,nan,8,2,-,3,-,-,452',,452.0,8.0
744904,flavio-souza,2020,20/21,Total 20/21: | Total 20/21: | nan | 10 | 5 | 1 | 1 | - | - | 637',Total 20/21:,nan,10,5,1,1,-,-,637',,637.0,10.0
1091430,joao-vitor,2025,25/26,Total 25/26: | Total 25/26: | nan | 2 | - | - | - | - | - | 136',Total 25/26:,nan,2,-,-,-,-,-,136',,136.0,2.0
1091430,joao-vitor,2024,24/25,Total 24/25: | Total 24/25: | nan | 22 | 4 | 1 | 2 | - | - | 878',Total 24/25:,nan,22,4,1,2,-,-,878',,878.0,22.0
1091430,joao-vitor,2023,23/24,Total 23/24: | Total 23/24: | nan | 1 | - | - | - | - | - | 44',Total 23/24:,nan,1,-,-,-,-,-,44',,44.0,1.0
1091430,joao-vitor,2022,22/23,Total 22/23: | Total 22/23: | nan | 1 | - | - | - | - | - | 81',Total 22/23:,nan,1,-,-,-,-,-,81',,81.0,1.0
